,Emotion,Text
1,joy,Sage Act upgrade list tommorow
2,sad,WAY HOMEGIRL BABY FUNERAL MAN HATE FUNERALS SHOWS BLESSED
3,joy,eye  true hazel eyeand brilliant  Regular features  open countenance  complexion  Oh  bloom health  pretty height size  firm upright figure  health  merely bloom  air  head  glance  hears child  picture health    gives idea complete picture grownup health  loveliness 
4,joy,  ugh babe hugggzzz u  babe naamazed nga ako e babe e despite negas mas pinaramdam fil ko ang
5,fear,Im expecting extremely important phonecall minute #terror #opportunity
6,sad,Couldnt wait live missing NH7 wasnt painful enuf Suraj s performing gig delhi
7,anger,bull tossed effigy hands infuriated  
8,sad,People hide #fake smile
9,joy,life  Leopold truly happy : hopes prayers beloved son come fruition 
10,fear,assault laughter stand ~ Mark Twain #emotionalcourage
11,anger, everybody  
12,sad,Shakuhachi dress $580 1022 mm lens $708 #pain :(
13,joy,feeling fail french #fuckfrench
14,joy,GoodLet  
15,sad,Oh  thats bad  doctor 
16,joy,fell love \X\ Overnight felt confidence selfesteem responsible worthwhile
17,fear,primitive #Instinct thats friendIt warns pay attention ur dangerit tells act save
18,anger,talk 
19,fear,riding friend car speed 120 km/h snowcovered motorway liked out
20,sad,welcome   glad night love you leave :( im gonna miss much
21,joy,terribly ecstatic dangerous thing 
22,sad,losing something Going fat burger dinner dad
23,joy,selected study university
24,joy,Yeah  ’ ages  
25,fear,friend misunderstood know #heartoflife good
26,fear,     #xA#xAAdd things symptom called #NERVOSO #xA#xAu wanna learn [:
27,fear,bank secret dismay Virgin s venture airlines 
28,joy,passed BA exams class results
29,sad,homies ride ponies look like sad puppy #wanttoride #ankleneedstoheal
30,sad,OMG December 5th windows open house Mr Winter you Jack frost missing too
31,anger,kill work number slakers wandering around nothing
32,fear,years ago father ill stayed hospital long time experienced terrible feeling lose him
33,sad,thought agreed  ’ going weeks rework 
34,anger,parents allow social function friends attending
35,fear,quotThe family bedrock society protect institution marriage country fallquot
36,sad,Bro team lost  played swag #freshcut
37,joy,heard selected fot year university Zambia form Chikola secondary school
38,anger,tried rape best friends claimed fault hassled her claimed loose threatened sue her
39,joy,Welp time study days
40,joy,Heading campus rain grad photos
41,fear,dismay way kids savaging flora Stonethwaite good example 
42,sad,moment terror drink hot chocolate knowing burn mouth
43,sad, lot pressure  boss pushy  assigned projects  deadlines near  finished projects 
44,sad,Sink broken 2night: going lambnow pbj
45,sad,apparently lost bestfriend
46,fear,“  shakiest 14point lead history college football” lol
47,fear,People trapped elevator actually stairs time let wear  #quote #life
48,sad,rarely desperate need talk to Tonight nights sleeping Im loss
49,sad,Sr HS class counselors died hepatitis sensitive knew shyness drew improve image missed funeral  publically grieve parents understand
51,joy,feeling awesome 
52,joy,  brings  Ive bought Christmas presents trawl loads shops :)
53,fear,heard father found letter boyfriend calling talk it
54,fear,results seeing walk situation w/o LORD FAITH realizing gets b4 do
55,fear,shot horrified look 
57,fear,applicable myself
58,joy,shit pants Pure 100% gravy
59,joy,life  Leopold truly happy : hopes prayers beloved son come fruition 
60,fear,years ago saw film TV makes afraid
61,joy,Class jamming paper quarter reason celebrate though Studying begin right after
62,sad,NOOOOOO pongan super torpe las 9 de la mañana entendemos que nadie lo ve pero yo sí voy levantar para verlo
63,fear,Seeing stray dog run right pass Morehouse campus
65,anger,effect smoking reefer
66,fear,12 years old frequently pursued got sound thrashes
67,fear,“  team hot         yes sir
68,fear,Dad  Im scared 
69,joy,cant wait sleep tomorrow study tonight tomorrow night oh 3 essays due
70,anger,juvenile emotion simple minded creature express
71,anger,Suppressing annoyance called  Little Sara   replied 
72,joy,time unpack finish homework
73,anger,Sly left feeling absolutely livid 
74,anger,left student newspaper Chinese university table library disappeared came back
75,joy,choral concert appeared solist concert5 good forgot hard work before remained undescribable joy feeling warmth security etc
76,fear,  Girl picture book Twitter pics lol Nah itor tried lol
77,sad,glanced  saw Auguste s anguished eyes  thought understood 
78,joy,world cant happiness lot longer #GoFigure
79,anger,dipped cotton wool water dabbed livid puffy eyes 
80,sad, sad afforded welcome given Beirut hostages   told deeply moved audience AGM month 
81,joy,Oh early morning preachings father
82,joy,robbed tribulation u hav entered means provided Joy #prayer Communion w God
83,joy,Good morning  Jim 
84,fear,afraid tomorrow saw yesterday love today #less
85,anger,soud like neighbours hell 
86,joy,chris Paul sum goes clippers Idk Ill lose
87,sad,time lost badminton match Zambia closed badminton championships
88,joy,advertisements appeared Novoye Russkoye weekend  causing buzz excitement Soviet expatriate enclave Brighton Beach  known Little Odessa 
89,fear,#anxiety lifted think Im going pass #statistics maybe half decent Got 90% #exam
90,joy,Thrilled reunite best friend today raining find way theater dance downtown
91,sad,brand  Im afraid 
92,fear,wait till factor LOVE SHOW Missed watching :)
93,joy,Study day tomorrow day Saturday Sunday
95,sad,saw Summer Shandy box Aunts fridge Liene found
96,fear,Nearly year later Im driving freeways rush hour fear conquered #confidence Feels great
97,sad,voice shook  face white anguish 
98,sad,going loner target panache hob lob
99,joy,normally push heart rate pulse racing alcohol  dancing general party excitement increase noticeable normal 
100,anger,teachers suspicious popularity  annoyed lack interest academic work infuriated achieve high marks examinations 
101,anger,broke artistic work weeks Changes broken permission right this
102,joy,Took nap hours watching Christmas movies
103,sad,owner  mean heartbreak loss family pet 
104,fear,Tiens de la taurine dans les croquettes Friskies chat dintérieur #miaou
105,anger,impossible  cheated 
106,sad,afternoon nap me burning episodes DVD prepare Stu Hard Drives reformat :(
107,joy,ill working 9pm6am black Friday
109,fear,home sleeping heard robbers breaking house
110,sad,  WANT ENGLISH BULLDOG PUPPY
111,anger,disappointed actually consider Taylor Swift role Eponine movie version Les Mis
112,joy,  wish saw Church highlight Christmas
113,sad,expression community sympathy local children South Ronaldsay sent cards devastated mothers 
114,sad,3:30am guy friend gonna come window fell asleep came :(
115,sad,2 amp = pleasant wonderful #memories right now #xA#recovery #survivors #stopabuse #ptsd #livefree
116,joy,people bring joy go people bring joy go— Mark Twain
117,joy,yaay brother said hell play badminton tomorrow :D
119,joy,Going concert
120,fear,public disquiet  questions Commons enquiry ordered Jeffrey s whereabouts 
121,anger,informed flatmate that wed moved flat shed expected buy food separetely  event actually happened 5 months sharing began Prior this said nothing
122,fear,«  afraid tomorrow seen yesterday love today #less»
123,anger,impression arouse anger see angry respects ~Richard M Nixon
124,joy,things  morning  swimming boating  afternoon  play basketball tennis  sit camp fire nightWe sing tell stories 
125,joy,Arabic coffee happy
126,fear,feel afraid way great friend looks me little afraid directions going
127,joy,Morning tweeps Hope guys great filled #happyness
128,joy,received year results year involved lot work pleased got results
129,sad,got history class semestre
130,anger,terrible  furious  impotent anger filled  making want strike  shout scream 
131,sad,day spent bed life
132,fear,Concered hights today Went way climbing Sooo proud beat enrique quad biking:D love girls x
133,anger,soldier quarrelled commander revenge detailed duty successive nights Naturally checked second night found asleep sent cells
135,joy,Lady concert   sketchy people
137,sad,want Sheila know appreciate kindness shown earlier mood despondency 
139,anger, check weight  Im getting fatter 
140,fear,Dnt believe lies look eyes plz dnt b scared me miss deep #Drake
141,joy,passed form exams
142,anger,laughed  nt feel offended 
143,joy,throat fire guess ill going doctor tomorrow news tonight successful night(: praise God 
145,fear,strong #Darkness strong #Soul pure bright brave beam light
146,fear,Steven  
147,joy,meeting old friend mine
148,joy,matter old am anytime leaf blower air blast closest person me Brings
149,fear,  man proper genius
150,fear,thought failed examination
151,joy,passed DMCT year spend math hour absolutely library
152,sad,conscious men wnat goal have: sex important
153,joy, special day  survive year  rest smooth sailing 
154,sad,terribly sad 
155,sad,days followed Brackenbury s hasty departure  Edward s despondency increased 
156,anger,father promised bicycle birthday birthday forgot promised me
157,anger,Auguste shot indignant glance 
158,fear,losing spark haunts everyday
159,anger,worked classmates project anxious project partners showed concern meetings project classmates pay attention read books argued irrelevant questions meeting hours main theme discussed wasted time reach compromise classmates avoided work responsibilities value projects one
160,fear,FEAR = False Evidence Appearing Real
161,joy,son returned mountaineering  healthy body soul
162,fear,water level rising near home #Flooding
163,joy,way clean mess Urban today
164,anger,kid brother broke reading spectacles
165,anger, Mary  ’ horrible 
166,fear,close eyes wont wake up  #truth
168,joy,doomed forget something shitty luck
169,fear,america new north korea china germany russia were military controlled selfspying censoring paranoid antagonists
170,sad,toot trumpet clown enormous sorrowful eyes coming ringside seat wanted run away 
171,joy,lifeguard training tomorrow evening
172,sad,earlier friend spreading negative rumours me
173,anger,newcomers feel coldshouldered local population occasions resentful tribal clannishness 
174,joy,Seein folks overcome limitations seeing DREAM capacity compass
175,joy,birthday christmas right corner idea want
176,sad,funny people follow eventually unfollow followed back
177,sad, sad pathetic  m miserable 
178,joy,Bought xmas gifts today love christmas time
179,anger, mean  Rachel   mother asked slowly  ignoring husband s indignant look 
180,joy,type texts baby fine (moving amp heart beating) O theyve given RH shot safe BABY FINE
181,joy,thanksgiving: spending night emegency room
182,sad,mom asked cole caught deer year mom kill deer
183,joy,Today off Time work crutches tomorrow
184,joy,(MIRACLE SCRIPTURE 700 BC) Behold virgin shall conceive amp bear Son amp shall Immanuel Is 7:14
185,fear,Talks Going Well Pissed Play Acting Playing Dangerous Games #FLASHMEN #skynews #skypapers
186,fear,morning hard graft left 8 days sun food bevy need plane journey scary shit like
187,anger,saw brother attacked anything
188,fear,s concerned happen  
189,sad,Im happy   says thankful best friends
190,sad,wondered felt deep sadness 
191,fear,Good day gym bringin leavin
192,joy,  wear crown cuz deserve it
193,sad,Andare fare shopping e tornare mani vuote casa
195,joy,holiday seeing lanscape Girona
196,anger,Pretty sure Kiss play 3 different songs theyre TGIF remix pisses off Gwetta Agwilera
197,joy,Minute shards glass slashed Rohmer s ecstatic face 
198,anger,Waiter 
199,fear,Intelligence puts man throne Faith puts God there
200,joy,Getting parttime job
201,anger,believe wedding present  Joanne  hardly use 
202,anger,satisfy light leave eyes know longer draws breath
203,anger,Hoskyns  year live  angry university 
204,fear,losing people love
205,fear,passengers looked horrified 
206,joy,love smell fella post
207,joy,bomb physics test
208,joy,good morning world
209,sad,merciful wave closing  healing despair 
210,sad,Relatives death
211,fear,☁☾ quotFEAR Night Long but F H Makes Fine Pillowquot ~unk
212,joy,Eating candy cane season
213,sad,considered world s beautiful women  yesterday line etched Britt Ekland s face told story personal anguish 
214,fear,giving seminar large audience
215,sad,wish london trafalgar square   wish meet
216,sad,yes  accept childless marriage  fight night 
217,joy,gotta dish detergent tub dat bubble action
218,joy,work working homework
219,anger,Brazil  example  miffed summit nt scheduled date inauguration new president month 
220,fear,son fell cot age 5 months nervous thought cause defects head
221,joy,excited party party tomorrow night besties miss Emma Rose :) xxxx
222,fear,saw frightened horses edge steep drop 
223,fear,physically assaulted sexually abused year ago feeling away intact alive produced fear
224,sad,fact ashamed felt sadness
225,sad,lol people people stop Arashis FNS mic situation ok point anyways cant find TMRs perfs
226,sad,  know whats going on Things folded
227,joy,Pretty excited Orgelbau Dillingen chosen (unanimously) build new organ church
228,fear,feeding premature baby (7 months) baby chocked working childrens ward thought killed baby
229,fear,reason lot devotion  
230,sad,brothers friends house nothing happens come home
231,sad,Totally  marriage 
233,sad,School shootings need stop know quick fix this schools supposed safe
234,anger,  intrigue me Plus campaign ending anticlimatic nth degree Uninstall game
235,sad,wish black hairit eaiser find hair weave  :(
236,sad,dad campfire chocolate grahmcrackers marshmallowswhat this lt/33
237,joy,Im sewing walk downstairs pot coffeeand find Christmas decorating swing Gotta love daughters
238,fear, South Africa worried easily  close line  know Carling Jeremy Guscott quickest world 
239,sad,massive Busted sesh fuck break up
240,fear,edge slipping winning
242,anger,reason Star cross 
243,sad, sad afforded welcome given Beirut hostages   told deeply moved audience AGM month 
244,joy,course passed good marks subjects previously failed
245,fear,Goodbye Farewell Long
246,fear,FUCK NIGGA FEAR fags CAUSE FEAR GANGING amp DESTROYIN SLUTTED FOR #HARD
247,joy,Hate trains ran missed second saw drive away half hour wait oh
248,anger,lights WiFi fucking way making dinner
249,anger,turned Fran  faint annoyance crossing face 
250,sad,pour moi car je nai pas beaucoup de followers :(
252,joy,Wow sounds interesting  Excuse bit nosy  old 
253,fear,turn blind eye  Change whats programmed inside
254,sad,realized Im allergic shampoo Great
255,sad,prolly gonna happen morning gtlt ugh idc anymore :/
256,anger,experience emotion day angry day got pulled done happened school days spoken word class monitor written board remark callender signed parents remark resulted spanked
257,sad,told Barbara  felt depressed 
258,anger,Oh  food bad  soup cold meat  ur  like leather 
259,sad,moment realize lost person needed admit
260,joy,Listening Eternal Joy Division Sad mournful beautiful mixed together division #Ian Curtis
261,fear,Je fais stalker sur par un mec de lâge de mon père je lai refusé en ami mais il like tout ce que je fais en public
262,joy,Anyway time settle nice plane ride lots Russia reading
263,sad,  mo said im allowed picked school tomorrow  didnt today ):
264,sad,  love caitlyn sad miss switch die
265,joy,Homework rest nightoh lol
266,joy,solid workout indoor Time hw half asleep #tired
267,anger,Wow rush adrenalin while
268,fear,  lo gak takut pembunuh Yang lo takutin adalah hobinya dia kalo lagi bete
269,joy,brother gave watch
271,fear,Wonder week home feel
272,fear,im discovering band missed 15 years ago wishing sheltered growing up
273,sad,looked eyes saw terrible pain inconsolable grief 
274,fear,domestic drones anyway heard drone attacking wrong target ever thats who
275,joy,Im sure ill sick next babies coughing amp sneezing me
276,anger,want sleep Im bad mood right now #Sadness
277,fear,  goin bring it u want corners coz u want end today then #nomistakestoday #3morepoints
279,joy,sore throat amp feel sick stomach
280,fear,voice tetchy  alarmed 
281,sad,friend badly hurt
282,joy,child born
283,joy, m delighted left house   Julia told Margaret 
284,fear,“  afraid tomorrow seen yesterday love today #less”
285,sad,honestly spent wayyy money Im impulse buyer
286,anger,surname brother different ours grinned home provoked pleasure it angry
287,anger,teacher secondary school forced darling marry him girl tried refuse parents leave alone
288,anger,came home day discovered sister borrowed car gotten accident it entire bumper destroyed
289,anger,Unfair unjust attitude person close me witness of caused anger me
290,fear,Leo demanded wrenched stare terrorstricken face 
291,joy,Letting Jesus control emotions ie ill feeling
292,joy,garage bunch drunk people
293,fear,received representations matter aware disquiet groups hon Gentleman described 
294,joy,God clearly heard asked yesterday surprise week Grabe talaga love Niya Im tears :quotgt
295,joy,Saturday duties hours people wanted see
296,sad,realizing girlfriend fact started process breaking up
297,sad,despondent Renault worker remarked   came close new  
298,sad,received brand new hate SIM card support tells know whats wrong :(
299,joy,officially hate you guess
300,fear,  Free Expression Revolution
301,joy,Started day building snowman taking pictures freshly fallen snow Michael Buble amp cup tea
302,sad,Oh  computer crashed 
303,sad,horrible  thing 
304,anger,ooh look copy pasting jokes websites im dick
305,sad,little bit soap entered eye taking bath :(
306,anger,fuck going school means look face
